dt_captura,no_emissor,no_setor,link
2026-09-25,ACCESS FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/3103/Access_FIDC_-_Seniores_Única
2026-09-25,ACCESS FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2395/Access_FIDC_-_Subordinadas_Júnior_
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_
2026-09-25,AÇO CEARENSE FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/5241/Aço_Cearense_FIDC_-_Subordinadas_Júnior_
2026-09-25,AÇO CEARENSE FIDC - MEZANINO CLASSE A,FIDCs,https://www.austin.com.br/Historico-Rating/5240/Aço_Cearense_FIDC_-_Mezanino_Classe_A_
2026-09-25,AÇO CEARENSE FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/5239/Aço_Cearense_FIDC_-_Subordinadas_Mezanino_
2026-09-25,AÇO CEARENSE FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/5237/Aço_Cearense_FIDC_-_Seniores_Única
2026-09-25,ACP BIOENERGIA DESENVOLVE SP FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4951/ACP_Bioenergia_Desenvolve_SP_FIDC_-_Seniores_Única
2026-09-25,ACR IV FIDC - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/4665/ACR_IV_FIDC_-_Subordinadas_
2026-09-25,ACRE BG FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4680/Acre_BG_FIDC_-_Subordinadas_Júnior_
2026-09-25,ACRE BG FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4679/Acre_BG_FIDC_-_Seniores_Única
2026-09-25,ACTIVA FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/1607/Activa_FIDC_-_Subordinadas_Júnior_
2026-09-25,ADGM FIDC - SENIORES 3ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4595/ADGM_FIDC_-_Seniores_3ª_série
2026-09-25,ADJUD I FIDC NP  - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/4791/Adjud_I_FIDC_NP__-_Subordinadas_
2026-09-25,ADJUD I FIDC NP  - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4790/Adjud_I_FIDC_NP__-_Seniores_Única
2026-09-25,AFINITTY FIC FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4529/Afinitty_FIC_FIDC_-_Subordinadas_Júnior_
2026-09-25,AFINITTY FIC FIDC - MEZANINO CLASSE A,FIDCs,https://www.austin.com.br/Historico-Rating/4528/Afinitty_FIC_FIDC_-_Mezanino_Classe_A_
2026-09-25,AFINITTY FIC FIDC - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4527/Afinitty_FIC_FIDC_-_Seniores_1ª_série
2026-09-25,AFINITTY FIC FIDC - SUBORDINADAS MEZANINO III,FIDCs,https://www.austin.com.br/Historico-Rating/4526/Afinitty_FIC_FIDC_-_Subordinadas_Mezanino_III_
2026-09-25,AFINITTY FIC FIDC - SENIORES 3ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4525/Afinitty_FIC_FIDC_-_Seniores_3ª_série
2026-09-25,AFINITTY FIC FIDC - SUBORDINADAS MEZANINO II,FIDCs,https://www.austin.com.br/Historico-Rating/4457/Afinitty_FIC_FIDC_-_Subordinadas_Mezanino_II_
2026-09-25,AFINITTY FIC FIDC - SENIORES 2ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4456/Afinitty_FIC_FIDC_-_Seniores_2ª_série
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/2646/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Única_
2026-09-25,AFINITTY MF FIDC (ELETRO FIDC) - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/2365/Afinitty_MF_FIDC_(Eletro_FIDC)_-_Seniores_Única
2026-09-25,AGP FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2507/AGP_FIDC_-_Subordinadas_Júnior_
2026-09-25,AGROCRED IB I FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/3943/Agrocred_IB_I_FIDC_-_Subordinadas_Júnior_
2026-09-25,AGROCRED IB I FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/3942/Agrocred_IB_I_FIDC_-_Subordinadas_Mezanino_
2026-09-25,AGROCRED IB I FIDC - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3941/Agrocred_IB_I_FIDC_-_Seniores_1ª_série
2026-09-25,AL CREDIT FIDC NP  - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/1728/Al_Credit_FIDC_NP__-_Subordinadas_
2026-09-25,ALION MZ FIC FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4249/Alion_MZ_FIC_FIDC_-_Subordinadas_Júnior_
2026-09-25,ALION MZ FIC FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4248/Alion_MZ_FIC_FIDC_-_Seniores_Única
2026-09-25,ALLSEC FIDC  - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/3685/Allsec_FIDC__-_Subordinadas_Júnior_
2026-09-25,ALLSEC FIDC  - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3684/Allsec_FIDC__-_Seniores_1ª_série
2026-09-25,ALLUGG FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/5182/Allugg_FIDC_-_Subordinadas_Mezanino_
2026-09-25,ALLUGG FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/5181/Allugg_FIDC_-_Seniores_Única
2026-09-25,ALUME FIDC - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/4056/Alume_FIDC_-_Subordinadas_
2026-09-25,ALUME FIDC - 1ª E 2ª SÉRIES - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4055/Alume_FIDC_-_1ª_e_2ª_Séries_-_Seniores_Única
2026-09-25,ALUME FIDC - 3ª E 4ª SÉRIES - SENIORES 3ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/4530/Alume_FIDC_-_3ª_e_4ª_Séries_-_Seniores_3ª_série
2026-09-25,ALVORADA I FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/5142/Alvorada_I_FIDC_-_Subordinadas_Júnior_
2026-09-25,ALVORADA I FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/5141/Alvorada_I_FIDC_-_Subordinadas_Mezanino_
2026-09-25,ALVORADA I FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/5140/Alvorada_I_FIDC_-_Seniores_Única
2026-09-25,AMAZONAS ENERGIA FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/3605/Amazonas_Energia_FIDC_-_Subordinadas_Júnior_
2026-09-25,AMAZONAS FIDC - SUBORDINADAS MEZANINO V,FIDCs,https://www.austin.com.br/Historico-Rating/3481/Amazonas_FIDC_-_Subordinadas_Mezanino_V_
2026-09-25,AMAZONAS FIDC - SUBORDINADAS MEZANINO IV,FIDCs,https://www.austin.com.br/Historico-Rating/3480/Amazonas_FIDC_-_Subordinadas_Mezanino_IV_
2026-09-25,AMAZONAS FIDC - SUBORDINADAS MEZANINO III,FIDCs,https://www.austin.com.br/Historico-Rating/3479/Amazonas_FIDC_-_Subordinadas_Mezanino_III_
2026-09-25,AMAZONAS FIDC - SUBORDINADAS MEZANINO II,FIDCs,https://www.austin.com.br/Historico-Rating/3478/Amazonas_FIDC_-_Subordinadas_Mezanino_II_
2026-09-25,AMAZONAS FIDC - SUBORDINADAS MEZANINO I,FIDCs,https://www.austin.com.br/Historico-Rating/3477/Amazonas_FIDC_-_Subordinadas_Mezanino_I_
2026-09-25,AMAZONAS FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/3476/Amazonas_FIDC_-_Seniores_Única
2026-09-25,ANACLETO FIDC  - ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/3705/Anacleto_FIDC__-_Única_
2026-09-25,ANGÁ SABEMI VIII.I FIC FIDC - SENIORES 1ª SÉRIE,FIDCs,https://www.austin.com.br/Historico-Rating/3046/Angá_Sabemi_VIIII_FIC_FIDC_-_Seniores_1ª_série
2026-09-25,ANTECIPA FIDC NP MULTISSETORIAL - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/3264/Antecipa_FIDC_NP_Multissetorial_-_Subordinadas_Júnior_
2026-09-25,ANTECIPE FIDC MULTISSETORIAL - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/3002/Antecipe_FIDC_Multissetorial_-_Subordinadas_Júnior_
2026-09-25,APPALOOSA FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/4650/APPALOOSA_FIDC_-_Subordinadas_Júnior_
2026-09-25,APPALOOSA FIDC - SUBORDINADAS MEZANINO,FIDCs,https://www.austin.com.br/Historico-Rating/4649/APPALOOSA_FIDC_-_Subordinadas_Mezanino_
2026-09-25,APPALOOSA FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/4648/APPALOOSA_FIDC_-_Seniores_Única
2026-09-25,APUAMA CAPITAL GESTORA DE RECURSOS LTDA.,Gestão,https://www.austin.com.br/Historico-Rating/4425/Apuama_Capital_Gestora_de_Recursos_Ltda
2026-09-25,AQUIRAZ FIC FIDC - SUBORDINADAS MEZANINO III,FIDCs,https://www.austin.com.br/Historico-Rating/2824/Aquiraz_FIC_FIDC_-_Subordinadas_Mezanino_III_
2026-09-25,AQUIRAZ FIC FIDC - SUBORDINADAS MEZANINO II,FIDCs,https://www.austin.com.br/Historico-Rating/2823/Aquiraz_FIC_FIDC_-_Subordinadas_Mezanino_II_
2026-09-25,AQUIRAZ FIC FIDC - SUBORDINADAS MEZANINO I,FIDCs,https://www.austin.com.br/Historico-Rating/2639/Aquiraz_FIC_FIDC_-_Subordinadas_Mezanino_I_
2026-09-25,AQUIRAZ FIC FIDC - SUBORDINADAS JÚNIOR,FIDCs,https://www.austin.com.br/Historico-Rating/2638/Aquiraz_FIC_FIDC_-_Subordinadas_Júnior_
2026-09-25,AQUIRAZ FIC FIDC - SENIORES ÚNICA,FIDCs,https://www.austin.com.br/Historico-Rating/2607/Aquiraz_FIC_FIDC_-_Seniores_Única
2026-09-25,ÁREA DE GESTÃO DE RECURSOS DE TERCEIROS DA BANESTES DTVM,Gestão,https://www.austin.com.br/Historico-Rating/5018/Área_de_Gestão_de_Recursos_de_Terceiros_da_Banestes_DTVM
2026-09-25,ARES FIDC NP - SUBORDINADAS,FIDCs,https://www.austin.com.br/Historico-Rating/4797/Ares_FIDC_NP_-_Subordinadas_
