dt_captura,no_emissor,link,no_tipo_rating,de_rating_br,de_rating_cp,de_rating_lp,dt_acao_rating,de_acao_rating,de_outlook,link_relatorio
2026-09-04,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA. – COOPERFORTE,https://www.austin.com.br/Historico-Rating/4579/Cooperativa_de_Economia_e_Crédito_Mútuo_de_Funcionários_de_Instituições_Financeiras_Públicas_Federais_Ltda_–_Cooperforte,Corporativo,brA+,,brA+,2025-06-25,Confirmação,Positiva,https://www.austin.com.br/Relatorio/Rating/Cooperativa_de_Economia_e_Crédito_Mútuo_de_Funcionários_de_Instituições_Financeiras_Públicas_Federais_Ltda_–_Cooperforte/11398
2026-09-04,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA. – COOPERFORTE,https://www.austin.com.br/Historico-Rating/4579/Cooperativa_de_Economia_e_Crédito_Mútuo_de_Funcionários_de_Instituições_Financeiras_Públicas_Federais_Ltda_–_Cooperforte,Corporativo,brA+,,brA+,2024-07-10,Alteração de Perspectiva,Positiva,
2026-09-25,AÇO CEARENSE FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/5237/Aço_Cearense_FIDC_-_Seniores_Única,FIDCs,brBBB-,,brBBB-,2026-06-18,Rating Inicial,Estável,https://www.austin.com.br/Relatorio/Rating/Aço_Cearense_FIDC/11646
2026-09-25,ADGM FIDC - SENIORES 3ª SÉRIE,https://www.austin.com.br/Historico-Rating/4595/ADGM_FIDC_-_Seniores_3ª_série,FIDCs,brBBB+,,brBBB+,2024-07-10,Rating Inicial,Estável,https://www.austin.com.br/Relatorio/Rating/ADGM_FIDC/10935
2026-09-25,AÇO CEARENSE FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/5241/Aço_Cearense_FIDC_-_Subordinadas_Júnior_,FIDCs,brCCC,,brCCC,2026-06-18,Rating Inicial,Estável,https://www.austin.com.br/Relatorio/Rating/Aço_Cearense_FIDC/11649
2026-09-25,ADJUD I FIDC NP  - SUBORDINADAS,https://www.austin.com.br/Historico-Rating/4791/Adjud_I_FIDC_NP__-_Subordinadas_,FIDCs,brBB-,,brBB-,2024-08-13,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Adjud_I_FIDC_NP_/11204
2026-09-25,ADJUD I FIDC NP  - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/4790/Adjud_I_FIDC_NP__-_Seniores_Única,FIDCs,brBBB-,,brBBB-,2024-08-13,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Adjud_I_FIDC_NP_/11203
2026-09-25,ACR IV FIDC - SUBORDINADAS,https://www.austin.com.br/Historico-Rating/4665/ACR_IV_FIDC_-_Subordinadas_,FIDCs,brAA-,,brAA-,2024-08-08,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/ACR_IV_FIDC/11045
2026-09-25,AÇO CEARENSE FIDC - MEZANINO CLASSE A,https://www.austin.com.br/Historico-Rating/5240/Aço_Cearense_FIDC_-_Mezanino_Classe_A_,FIDCs,brB-,,brB-,2026-06-18,Rating Inicial,Estável,https://www.austin.com.br/Relatorio/Rating/Aço_Cearense_FIDC/11648
2026-09-25,AÇO CEARENSE FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/5239/Aço_Cearense_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB,,brB,2026-06-18,Rating Inicial,Estável,https://www.austin.com.br/Relatorio/Rating/Aço_Cearense_FIDC/11647
2026-09-25,ACP BIOENERGIA DESENVOLVE SP FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/4951/ACP_Bioenergia_Desenvolve_SP_FIDC_-_Seniores_Única,FIDCs,brA,,brA,2025-04-01,Rating Preliminar,,https://www.austin.com.br/Relatorio/Rating/ACP_Bioenergia_Desenvolve_SP_FIDC/11363
2026-09-25,ACP BIOENERGIA DESENVOLVE SP FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/4951/ACP_Bioenergia_Desenvolve_SP_FIDC_-_Seniores_Única,FIDCs,brA,,brA,2025-04-01,Rating Preliminar,,https://www.austin.com.br/Relatorio/Rating/ACP_Bioenergia_Desenvolve_SP_FIDC/11364
2026-09-25,ACRE BG FIDC - SUBORDINADAS JÚNIOR,https://www.austin.com.br/Historico-Rating/4680/Acre_BG_FIDC_-_Subordinadas_Júnior_,FIDCs,brB,,brB,2024-08-14,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Acre_BG_FIDC/11069
2026-09-25,ACRE BG FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/4679/Acre_BG_FIDC_-_Seniores_Única,FIDCs,brBB+,,brBB+,2024-08-14,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Acre_BG_FIDC/11068
2026-09-25,ACCESS FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/3103/Access_FIDC_-_Seniores_Única,FIDCs,brBBB+,,brBBB+,2024-08-15,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Access_FIDC/11202
2026-09-25,ACCESS FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/3103/Access_FIDC_-_Seniores_Única,FIDCs,brBBB+,,brBBB+,2022-08-12,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/3103/Access_FIDC_-_Seniores_Única,FIDCs,brA-,,brA-,2020-04-02,Observação Negativa,,
2026-09-25,ACCESS FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/3103/Access_FIDC_-_Seniores_Única,FIDCs,brA-,,brA-,2019-08-02,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SENIORES ÚNICA,https://www.austin.com.br/Historico-Rating/3103/Access_FIDC_-_Seniores_Única,FIDCs,brA-,,brA-,2019-01-09,Rating Inicial,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brCCC,,brCCC,2024-08-15,Confirmação,Estável,https://www.austin.com.br/Relatorio/Rating/Access_FIDC/11200
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brCCC,,brCCC,2022-08-12,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2020-04-02,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-08-02,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-05-16,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-02-14,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2019-02-14,Encerramento,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-11-13,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-08-01,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-06-21,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2018-02-26,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2017-09-01,Observação Negativa,,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2017-05-29,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2017-02-15,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2016-12-05,Confirmação,Estável,
2026-09-25,ACCESS FIDC - SUBORDINADAS MEZANINO,https://www.austin.com.br/Historico-Rating/2394/Access_FIDC_-_Subordinadas_Mezanino_,FIDCs,brB-,,brB-,2016-08-18,Confirmação,Estável,
