no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
3R LUX R.L.,3R Lux S.a.r.l.,,,,,
3S FUNDO INVESTIMENTO COTAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,3S FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
4UM GESTAO RECURSOS,,4UM Gestão de Recursos Ltda.,,,,03983856000112
911 BANK MULTI ESTRATEGIA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,911 BANK MULTI ESTRATEGIA FUNDO DE INVESTIMENTO EM DIREITOS  CREDITORIOS,
911 MULTIESTRATEGIA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,911 MULTIESTRATÉGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50790524000100
ABC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ABC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,42582289000144
ACCESS FIDC,,,,ACCESS FIDC - SENIORES ÚNICA,,09217017000170
ACELERA VAREJO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ACELERA VAREJO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,44680388000194
ACHE LABORATORIOS FARMACEUTICOS,Ache Laboratorios Farmaceuticos S.A.,,,,,60659463002992
ACL NP FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,ACL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,24506241000175
ACO CEARENSE FIDC,,,,AÇO CEARENSE FIDC - SUBORDINADAS JÚNIOR,,
ACO VERDE,,,Aco Verde do Brasil S.A.,,,07636657000199
ACP BIOENERGIA DESENVOLVE SP FIDC,,,,ACP BIOENERGIA DESENVOLVE SP FIDC - SENIORES ÚNICA,,26288346000120
ACR IV FIDC,,,,ACR IV FIDC - SUBORDINADAS,,
ACRE BG FIDC,,,,ACRE BG FIDC - SUBORDINADAS JÚNIOR,,
ACREDITAR FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,ACREDITAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,29152636000130
ACTIVA FIDC,,,,ACTIVA FIDC - SUBORDINADAS JÚNIOR,,
ACUCAREIRA QUATA,Acucareira Quata S.A.,,Acucareira Quata S.A.,,,60855574000173
ADAMI,,Adami S.A. - Madeiras,,,,83054478000121
ADAMI MADEIRAS,,,Adami S.A. Madeiras,,,87790606000156
ADGM FIDC,,,,ADGM FIDC - SENIORES 3ª SÉRIE,,
ADICIONAL,,,,,ADICIONAL - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,21247203000157
ADICIONAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL NP,,,,,Adicional FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS Multissetorial  NP,
ADJUD I FIDC NP,,,,ADJUD I FIDC NP  - SUBORDINADAS,,
ADYEN INSTITUICAO PAGAMENTO,,,Adyen do Brasil Instituicao de Pagamento Ltda,,,14796606000190
