dt_captura,no_emissor,link
2026-09-25,QI Participacoes Ltda.,https://www.fitchratings.com/entity/qi-participacoes-sa-97525815
2026-09-25,QI Sociedade de Credito Direto S.A.,https://www.fitchratings.com/entity/qi-sociedade-de-credito-direto-sa-97480532
2026-09-25,iCred Chopin INSS FIDC,https://www.fitchratings.com/entity/icred-chopin-inss-fidc-97829083
2026-09-25,iCred INSS III FIDC,https://www.fitchratings.com/entity/icred-inss-iii-fidc-97870993
2026-09-25,"Riza Securitizadora 2025-263-1,2,3 (JBS)",https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2025-263-1-2-3-jbs-97705190
2026-09-25,"Riza Securitizadora 2024-218-1,2,3 (JBS)",https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2024-218-1-2-3-jbs-97652090
2026-09-25,"Eco Securitizadora 2026-466-1,2,3,4 (BRF)",https://www.fitchratings.com/entity/eco-securitizadora-2026-466-1-2-3-4-brf-97948122
2026-09-25,Banco C6 Consignado S.A.,https://www.fitchratings.com/entity/banco-ficsa-sa-80543453
2026-09-25,Banco C6 S.A.,https://www.fitchratings.com/entity/banco-c6-sa-97531837
2026-09-25,Banco Fibra S.A.,https://www.fitchratings.com/entity/banco-fibra-sa-80360734
2026-09-25,Companhia de Gas do Estado do Rio Grande do Sul,https://www.fitchratings.com/entity/companhia-de-gas-do-estado-do-rio-grande-do-sul-97787579
2026-09-25,UHE Sao Simao Energia S.A.,https://www.fitchratings.com/entity/uhe-sao-simao-energia-sa-97786623
2026-09-25,Spic Brasil Energia Participacoes S.A.,https://www.fitchratings.com/entity/spic-brasil-energia-participacoes-sa-97786085
2026-09-25,Companhia Piratininga de Forca e Luz,https://www.fitchratings.com/entity/cia-piratininga-de-forca-e-luz-sa-91549891
2026-09-25,CPFL Geracao de Energia S.A.,https://www.fitchratings.com/entity/cpfl-geracao-de-energia-sa-94139890
2026-09-25,CPFL Energias Renovaveis S.A.,https://www.fitchratings.com/entity/cpfl-energias-renovaveis-sa-96223356
2026-09-25,CPFL Comercializacao Brasil S.A.,https://www.fitchratings.com/entity/cpfl-comercializacao-brasil-sa-96953770
2026-09-25,Companhia Jaguari de Energia,https://www.fitchratings.com/entity/companhia-jaguari-de-energia-97453053
2026-09-25,CPFL Energia S.A.,https://www.fitchratings.com/entity/cpfl-energia-sa-80492394
2026-09-25,Companhia Paulista de Forca e Luz (CPFL),https://www.fitchratings.com/entity/companhia-paulista-de-forca-e-luz-cpfl-80614495
2026-09-25,RGE Sul Distribuidora de Energia S.A.,https://www.fitchratings.com/entity/rge-sul-distribuidora-de-energia-sa-96554699
2026-09-25,CPFL Transmissao S.A.,https://www.fitchratings.com/entity/companhia-estadual-de-transmissao-de-energia-eletrica-ceee-t-97453517
2026-09-25,Banco Brasileiro de Credito S.A,https://www.fitchratings.com/entity/banco-brasileiro-de-credito-sa-97563747
2026-09-25,Localiza Fleet S.A.,https://www.fitchratings.com/entity/localiza-fleet-sa-96673245
2026-09-25,Localiza Rent a Car S.A.,https://www.fitchratings.com/entity/localiza-rent-car-sa-90199061
2026-09-25,Opea Securitizadora S.A. 2020-1-268 (JSL),https://www.fitchratings.com/entity/rb-capital-cia-de-securitizacao-2020-268-jsl-97043536
2026-09-25,Opea Securitizadora S.A. 2020-1-261 (JSL),https://www.fitchratings.com/entity/rb-capital-cia-de-securitizacao-2020-261-jsl-97043282
