dt_captura,dt_acao_rating,agencia,categoria,no_emissor_padronizado,no_emissor_original,de_instrumento,no_tipo_rating,tipo_movimento,rating_anterior,rating_atual,variacao_notches,outlook_anterior,outlook_atual,link
2026-09-25,2026-09-25,Fitch,Emissor,QI PARTICIPACOES,QI PARTICIPACOES,National Long Term Rating,National Long Term Rating,UPGRADE,AA-(bra),AA(bra),+1,Positiva,Estável,https://www.fitchratings.com/entity/qi-participacoes-sa-97525815
2026-09-25,2026-09-25,Fitch,Emissor,QI SOCIEDADE CREDITO DIRETO,QI SOCIEDADE CREDITO DIRETO,National Long Term Rating,National Long Term Rating,UPGRADE,AA-(bra),AA(bra),+1,Positiva,Estável,https://www.fitchratings.com/entity/qi-sociedade-de-credito-direto-sa-97480532
2026-09-25,2026-09-25,Fitch,Emissão,ICRED CHOPIN INSS FIDC,ICRED CHOPIN INSS FIDC,certificates ser 4,certificates ser 4,RETIRADO,AAA(EXP)sf(bra),NRsf,—,Estável,Estável,https://www.fitchratings.com/entity/icred-chopin-inss-fidc-97829083#issues
2026-09-25,2026-09-25,Fitch,Emissão,ICRED INSS III FIDC,ICRED INSS III FIDC,notes ser 4,notes ser 4,RETIRADO,AAA(EXP)sf(bra),NRsf,—,Estável,Estável,https://www.fitchratings.com/entity/icred-inss-iii-fidc-97870993#issues
2026-09-25,2026-09-24,S&P,Emissor,GJA INDUSTRIAS,GJA INDUSTRIAS,Escala Nacional Brasil de Longo Prazo,Escala Nacional Brasil de Longo Prazo,DOWNGRADE,brBBB+,brBB-,-5,Negativa,Negativa,https://brazil.ratings.spglobal.com/ratings/pt/regulatory/org-details/sectorCode/CORP/entityId/1000270
2026-09-25,2026-09-24,Fitch,Emissão,RIZA SECURITIZADORA 2024,RIZA SECURITIZADORA 2024,notes ser 3,notes ser 3,UPGRADE,AAsf(bra),AAAsf(bra),+2,Estável,Estável,https://www.fitchratings.com/entity/virgo-cia-de-securitizacao-2024-218-1-2-3-jbs-97652090#issues
2026-09-25,2026-09-24,Moody's,Emissão,SUL CONCESSOES PARTICIPACOES,SUL CONCESSOES PARTICIPACOES,3ª Emissão de Debêntures - Série Única,3ª Emissão de Debêntures - Série Única,NOVO,,AA.br,—,,Estável,
2026-09-25,2026-09-24,Moody's,Emissão,FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA FLAGSHIP BTO RECEIVABLES,FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA FLAGSHIP BTO RECEIVABLES,2ª Série de Cotas Seniores,2ª Série de Cotas Seniores,NOVO,,(P)AA-.br (sf),—,,Estável,
2026-09-25,2026-09-23,Fitch,Emissor,COMPANHIA GAS ESTADO RIO GRANDE SUL,COMPANHIA GAS ESTADO RIO GRANDE SUL,National Long Term Rating,National Long Term Rating,OUTLOOK,,AA(bra),0,Em Observação,Negativa,https://www.fitchratings.com/entity/companhia-de-gas-do-estado-do-rio-grande-do-sul-97787579
2026-09-25,2026-09-23,Liberum,Emissão,DAYCOVAL CONCREDITO CLT FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,DAYCOVAL CONCREDITO CLT FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Senior - Curto prazo,Senior - Curto prazo,UPGRADE,CP3,CP2,+1,Estável,Estável,https://www.liberumratings.com.br/detalhes-ativo/29209
2026-09-25,2026-09-23,Liberum,Emissão,DAYCOVAL CONCREDITO CLT FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,DAYCOVAL CONCREDITO CLT FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Senior - Longo prazo,Senior - Longo prazo,UPGRADE,BBB-,A,+4,Estável,Estável,https://www.liberumratings.com.br/detalhes-ativo/29209
2026-09-25,2026-09-23,Liberum,Emissão,INTRABANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE ILIMITADA,INTRABANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE ILIMITADA,Subordinada - Longo prazo,Subordinada - Longo prazo,DOWNGRADE,B,CCC,-3,Estável,Estável,https://www.liberumratings.com.br/detalhes-ativo/29223
