dt_captura,no_emissor,no_setor,link
2026-09-25,911 MULTIESTRATÉGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29211
2026-09-25,INTRABANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29223
2026-09-25,DAYCOVAL CONCRÉDITO CLT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29209
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ZIPDIN I,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29217
2026-09-25,LARCA CONSIGNADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29221
2026-09-25,KEYCASH HOME EQUITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29216
2026-09-25,B4 TRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29146
2026-09-25,TITAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29210
2026-09-25,SANTIAGO HOME EQUITY FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29212
2026-09-25,FINTRUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29205
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SANTA CRUZ CAPITAL,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29218
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS FACTA CONSIGNADO INSS DE RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29215
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SABIA CREDIT,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29185
2026-09-25,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS GENIAL MULTI CONSIGNADOS II RESPONSABILIDADE LIMITADA,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29201
2026-09-25,BARCELONA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,FIDC,https://www.liberumratings.com.br/detalhes-ativo/29194
