dt_captura,no_emissor,link,no_tipo_rating,de_rating_br,dt_acao_rating,de_acao_rating,de_outlook,de_classe,de_escala
2026-08-04,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOLAR KOMPASS ENERGIA,https://www.liberumratings.com.br/detalhes-ativo/25344,FIDC,CP4,2022-12-13,Atribuição,Estável,Mezanino,Curto prazo
2026-08-04,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SOLAR KOMPASS ENERGIA,https://www.liberumratings.com.br/detalhes-ativo/25344,FIDC,BB+,2022-12-13,Atribuição,Estável,Mezanino,Longo prazo
2026-08-20,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25349,FIDC,BB+,2022-12-14,Confirmação,Estável,Mezanino,Longo prazo
2026-08-20,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25349,FIDC,BBB,2022-12-14,Confirmação,Estável,Senior,Longo prazo
2026-08-20,VERSATILE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25349,FIDC,B,2022-12-14,Confirmação,Estável,Subordinada,Longo prazo
2026-08-20,C&J FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,https://www.liberumratings.com.br/detalhes-ativo/25345,FIDC,B,2022-12-14,Confirmação,Estável,Subordinada,Longo prazo
2026-09-14,RCL3X FIAGRO - DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/26538,FIDC,AAA,2023-10-27,Confirmação,Estável,Senior,Longo prazo
2026-09-14,RCL3X FIAGRO - DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/26538,FIDC,CP1,2023-10-27,Confirmação,Estável,Senior,Curto prazo
2026-09-14,RCL3X FIAGRO - DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/26538,FIDC,CP1,2023-10-27,Atribuição,Estável,Senior,Curto prazo
2026-09-14,RCL3X FIAGRO - DIREITOS CREDITÓRIOS,https://www.liberumratings.com.br/detalhes-ativo/26538,FIDC,AAA,2023-10-27,Atribuição,Estável,Senior,Longo prazo
2026-09-15,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALI CRÉDITO,https://www.liberumratings.com.br/detalhes-ativo/25356,FIDC,BBB-,2022-12-16,Confirmação,Estável,Senior,Longo prazo
2026-09-15,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALI CRÉDITO,https://www.liberumratings.com.br/detalhes-ativo/25356,FIDC,CP3,2022-12-16,Confirmação,Estável,Senior,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PH TECH,https://www.liberumratings.com.br/detalhes-ativo/26499,FIDC,BBB+,2023-10-26,Confirmação,Estável,Mezanino,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PH TECH,https://www.liberumratings.com.br/detalhes-ativo/26499,FIDC,AA,2023-10-26,Confirmação,Estável,Senior,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP3,2022-12-19,Confirmação,Estável,Mezanino,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,BBB-,2022-12-19,Confirmação,Estável,Mezanino,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,A+,2022-12-19,Confirmação,Estável,Senior,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP2,2022-12-19,Confirmação,Estável,Senior,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP2,2022-12-19,Confirmação,Estável,Senior,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,A+,2022-12-19,Confirmação,Estável,Senior,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,A+,2022-12-19,Confirmação,Estável,Senior,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP2,2022-12-19,Confirmação,Estável,Senior,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP2,2022-12-19,Confirmação,Estável,Senior,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,A+,2022-12-19,Confirmação,Estável,Senior,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP3,2022-12-19,Confirmação,Estável,Mezanino,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,BBB-,2022-12-19,Confirmação,Estável,Mezanino,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,BBB-,2022-12-19,Confirmação,Estável,Mezanino,Longo prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP3,2022-12-19,Confirmação,Estável,Mezanino,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,CP3,2022-12-19,Confirmação,Estável,Mezanino,Curto prazo
2026-09-17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS EMPIRICA CREDITAS AUTO,https://www.liberumratings.com.br/detalhes-ativo/25359,FIDC,BBB-,2022-12-19,Confirmação,Estável,Mezanino,Longo prazo
2026-09-21,Urbe Fundo de Investimento em Direitos Creditórios Multissetorial LP,https://www.liberumratings.com.br/detalhes-ativo/25352,FIDC,B,2022-12-15,Confirmação,Estável,Subordinada,Longo prazo
2026-09-22,ELDORADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/26586,FIDC,C,2023-11-09,Confirmação,Estável,Subordinada,Longo prazo
2026-09-22,ELDORADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/26586,FIDC,CP5,2023-11-09,Encerramento,Estável,Senior,Curto prazo
2026-09-22,ELDORADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,https://www.liberumratings.com.br/detalhes-ativo/26586,FIDC,B,2023-11-09,Encerramento,Estável,Senior,Longo prazo
