dt_captura,no_emissor,link
2026-09-25,AMBEV S.A.,
2026-09-25,AUTOMOB Participações S.A.,
2026-09-25,AXS Energia Unidade 08 S.A.,
2026-09-25,Adami S.A. - Madeiras,
2026-09-25,Aegea Saneamento e Participações S.A.,
2026-09-25,Afya Participações S.A.,
2026-09-25,Alibem Alimentos S.A.,
2026-09-25,Allos S.A.,
2026-09-25,Argo Energia Empreendimentos e Participações S.A.,
2026-09-25,"Armac Locação, Logistica e Serviços S.A.",
2026-09-25,Associação Hospitalar Moinhos de Vento,
2026-09-25,Auren Energia S.A.,
2026-09-25,Auren Operações S.A. (sucessora de AES Brasil Operações S.A.),
2026-09-25,Auren Participações S.A.,
2026-09-25,"B3 S.A. – Brasil, Bolsa, Balcão",
2026-09-25,BRK Ambiental - Mauá S.A.,
2026-09-25,BRK Ambiental - Uruguaiana S.A.,
2026-09-25,BRK Ambiental Participações S.A.,
2026-09-25,BRK Ambiental Região Metropolitana de Maceió S.A.,
2026-09-25,Be8 S.A.,
2026-09-25,Bemol S.A.,
2026-09-25,Boa Safra Sementes S.A.,
2026-09-25,Borrachas Vipal S.A.,
2026-09-25,Brennand Energia S.A.,
2026-09-25,Brennand Investimentos S.A.,
2026-09-25,CCR S.A.,
2026-09-25,CEMIG Distribuição S.A.,
2026-09-25,CEMIG Geração e Transmissão S.A.,
2026-09-25,CM Hospitalar S.A. (Viveo),
2026-09-25,CPFL Energia S.A.,
2026-09-25,CPFL Transmissão S.A.,
2026-09-25,Cajuina AB1 Holdings S.A.,
2026-09-25,Camil Alimentos S.A.,
2026-09-25,Castrolanda - Cooperativa Agroindustrial Ltda.,
2026-09-25,China Three Gorges Brasil Energia S.A. - CTG,
2026-09-25,Cia. Latino Americana de Medicamentos,
2026-09-25,Claro S.A.,
2026-09-25,Comerc Energia S.A.,
2026-09-25,Companhia Catarinense de Águas e Saneamento - CASAN,
2026-09-25,Companhia Energética de Minas Gerais - CEMIG,
2026-09-25,Companhia Paranaense de Gás – COMPAGAS,
2026-09-25,Companhia Paulista de Força e Luz,
2026-09-25,Companhia Piratininga de Força e Luz,
2026-09-25,Companhia Siderúrgica Nacional (CSN),
2026-09-25,Companhia Ultragaz S.A.,
2026-09-25,Companhia de Gás de São Paulo - Comgás,
2026-09-25,Companhia de Saneamento Ambiental do Distrito Federal - CAESB,
2026-09-25,Companhia de Saneamento de Minas Gerais S.A. - COPASA,
2026-09-25,Companhia de Saneamento do Paraná - SANEPAR,
2026-09-25,Companhia de Saneamento do Tocantins - Saneatins,
2026-09-25,Companhia do Metropolitano de São Paulo – Metrô,
2026-09-25,Companhia Águas de Itapema,
2026-09-25,Compass Gás & Energia S.A.,
2026-09-25,Comporte Participações S.A.,
2026-09-25,Corpóreos Serviços Terapêuticos S.A.,
2026-09-25,Cosan S.A.,
2026-09-25,Cremer S.A.,
2026-09-25,Cury Construtora e Incorporadora S.A.,
2026-09-25,Cyrela Brazil Realty S.A. Empreendimentos e Participações (Cyrela),
2026-09-25,DexCo S.A.,
2026-09-25,Diálogo Engenharia e Construção S.A.,
2026-09-25,EDP Energias do Brasil S.A.,
2026-09-25,EDP Espírito Santo Distribuição de Energia S.A.,
2026-09-25,EDP São Paulo Distribuição de Energia S.A.,
2026-09-25,Edge Comercialização S.A.,
2026-09-25,Elekeiroz S.A.,
2026-09-25,Eletropaulo Metropolitana de Eletricidade de São Paulo S.A. (Enel Distribuição São Paulo),
2026-09-25,Empresa Amazonense de Transmissão de Energia S.A.,
2026-09-25,Empresa Baiana de Águas e Saneamento S.A. - EMBASA,
2026-09-25,Empresa Catarinense de Transmissão de Energia S.A.,
2026-09-25,Empresa Norte de Transmissão de Energia S.A.,
2026-09-25,Empresa Paraense de Transmissão de Energia S.A.,
2026-09-25,FS Indústria de Biocombústiveis Ltda.,
2026-09-25,Fleury S.A.,
2026-09-25,Frigol S.A.,
2026-09-25,Frisia Cooperativa Agroindustrial,
2026-09-25,GJA Industrias S.A.,
2026-09-25,Gás de Alagoas S.A. - ALGÁS,
2026-09-25,Helio Valgas Solar Participações S.A.,
2026-09-25,Hidro Forte Administração e Operação S.A.,
2026-09-25,Hidrovias do Brasil S.A.,
2026-09-25,Hospital Anchieta S.A.,
2026-09-25,Hospital Care Caledonia S.A.,
2026-09-25,Hospital Mater Dei S.A.,
2026-09-25,Hospital Vera Cruz S.A.,
2026-09-25,Hypera S.A.,
2026-09-25,Igarapava Saneamento S.A.,
2026-09-25,In - Haus Industrial e Serviços de Logística S.A.,
2026-09-25,Inpasa Agroindustrial S.A.,
2026-09-25,Inspirali Educação S.A.,
2026-09-25,International Meal Company Alimentação S.A. (Grupo IMC),
2026-09-25,Ipiranga Produtos de Petróleo S.A.,
