dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_instrumento,de_rating_br,de_outlook,dt_acao_rating,link,no_devedor_vinculado
2026-09-25,Austin,ACO CEARENSE FIDC,AÇO CEARENSE FIDC - SENIORES ÚNICA,FIDCs,SENIORES ÚNICA,brBBB-,Estável,2026-06-18,https://www.austin.com.br/Historico-Rating/5237/Aço_Cearense_FIDC_-_Seniores_Única,
2026-09-25,Austin,ADGM FIDC,ADGM FIDC - SENIORES 3ª SÉRIE,FIDCs,SENIORES 3ª SÉRIE,brBBB+,Estável,2024-07-10,https://www.austin.com.br/Historico-Rating/4595/ADGM_FIDC_-_Seniores_3ª_série,
2026-09-25,Austin,ACO CEARENSE FIDC,AÇO CEARENSE FIDC - SUBORDINADAS JÚNIOR,FIDCs,SUBORDINADAS JÚNIOR,brCCC,Estável,2026-06-18,https://www.austin.com.br/Historico-Rating/5241/Aço_Cearense_FIDC_-_Subordinadas_Júnior_,
2026-09-25,Austin,ADJUD I FIDC NP,ADJUD I FIDC NP  - SUBORDINADAS,FIDCs,SUBORDINADAS,brBB-,Estável,2024-08-13,https://www.austin.com.br/Historico-Rating/4791/Adjud_I_FIDC_NP__-_Subordinadas_,
2026-09-25,Austin,ADJUD I FIDC NP,ADJUD I FIDC NP  - SENIORES ÚNICA,FIDCs,SENIORES ÚNICA,brBBB-,Estável,2024-08-13,https://www.austin.com.br/Historico-Rating/4790/Adjud_I_FIDC_NP__-_Seniores_Única,
2026-09-25,Austin,ACR IV FIDC,ACR IV FIDC - SUBORDINADAS,FIDCs,SUBORDINADAS,brAA-,Estável,2024-08-08,https://www.austin.com.br/Historico-Rating/4665/ACR_IV_FIDC_-_Subordinadas_,
2026-09-25,Austin,ACO CEARENSE FIDC,AÇO CEARENSE FIDC - MEZANINO CLASSE A,FIDCs,MEZANINO CLASSE A,brB-,Estável,2026-06-18,https://www.austin.com.br/Historico-Rating/5240/Aço_Cearense_FIDC_-_Mezanino_Classe_A_,
2026-09-25,Austin,ACO CEARENSE FIDC,AÇO CEARENSE FIDC - SUBORDINADAS MEZANINO,FIDCs,SUBORDINADAS MEZANINO,brB,Estável,2026-06-18,https://www.austin.com.br/Historico-Rating/5239/Aço_Cearense_FIDC_-_Subordinadas_Mezanino_,
2026-09-25,Austin,ACP BIOENERGIA DESENVOLVE SP FIDC,ACP BIOENERGIA DESENVOLVE SP FIDC - SENIORES ÚNICA,FIDCs,SENIORES ÚNICA,brA,,2025-04-01,https://www.austin.com.br/Historico-Rating/4951/ACP_Bioenergia_Desenvolve_SP_FIDC_-_Seniores_Única,
2026-09-25,Austin,ACP BIOENERGIA DESENVOLVE SP FIDC,ACP BIOENERGIA DESENVOLVE SP FIDC - SENIORES ÚNICA,FIDCs,SENIORES ÚNICA,brA,,2025-04-01,https://www.austin.com.br/Historico-Rating/4951/ACP_Bioenergia_Desenvolve_SP_FIDC_-_Seniores_Única,
