dt_captura,agencia,no_emissor_padronizado,no_emissor_original,no_tipo_rating,de_rating_br,de_outlook,dt_acao_rating,link
2026-09-04,Austin,IN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA. – COOPERFORTE,Corporativo,brA+,Positiva,2025-06-25,https://www.austin.com.br/Historico-Rating/4579/Cooperativa_de_Economia_e_Crédito_Mútuo_de_Funcionários_de_Instituições_Financeiras_Públicas_Federais_Ltda_–_Cooperforte
2026-09-04,Austin,IN,COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA. – COOPERFORTE,Corporativo,brA+,Positiva,2024-07-10,https://www.austin.com.br/Historico-Rating/4579/Cooperativa_de_Economia_e_Crédito_Mútuo_de_Funcionários_de_Instituições_Financeiras_Públicas_Federais_Ltda_–_Cooperforte
2026-09-25,Austin,APUAMA CAPITAL GESTORA RECURSOS,APUAMA CAPITAL GESTORA DE RECURSOS LTDA.,Gestão,QG3,Estável,2024-03-21,https://www.austin.com.br/Historico-Rating/4425/Apuama_Capital_Gestora_de_Recursos_Ltda
2026-09-25,Austin,AREA GESTAO RECURSOS TERCEIROS BANESTES DTVM,ÁREA DE GESTÃO DE RECURSOS DE TERCEIROS DA BANESTES DTVM,Gestão,QG2-,Estável,2025-08-22,https://www.austin.com.br/Historico-Rating/5018/Área_de_Gestão_de_Recursos_de_Terceiros_da_Banestes_DTVM
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2024-11-27,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2023-12-08,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2022-09-20,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL INVESTIMENTOS,ARTESANAL INVESTIMENTOS LTDA.,Gestão,QG2-,Estável,2021-05-28,https://www.austin.com.br/Historico-Rating/3814/Artesanal_Investimentos_Ltda
2026-09-25,Austin,ARTESANAL SECURITIZADORA CREDITOS,ARTESANAL SECURITIZADORA DE CRÉDITOS S.A.,Securitizadoras,brA,Estável,2026-06-17,https://www.austin.com.br/Historico-Rating/5242/Artesanal_Securitizadora_de_Créditos_SA
2026-09-25,Austin,BANCO BARI INVESTIMENTOS FINANCIAMENTOS,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,Bancos,brBBB,Estável,2023-12-13,https://www.austin.com.br/Historico-Rating/4367/Banco_Bari_de_Investimentos_e_Financiamentos_SA_
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA+,,2014-12-17,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA+,,2011-12-22,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA,Estável,2008-08-14,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANCO BRADESCO,BANCO BRADESCO,Governança Corporativa,brAA,Estável,2005-09-27,https://www.austin.com.br/Historico-Rating/15/Banco_Bradesco
2026-09-25,Austin,BANRISUL CORRETORA VALORES CAMBIO,BANRISUL S/A CORRETORA DE VALORES E CÂMBIO,Gestão,QG3+,Estável,2023-05-30,https://www.austin.com.br/Historico-Rating/3047/Banrisul_S_A_Corretora_de_Valores_e_Câmbio
2026-09-25,Austin,BANRISUL CORRETORA VALORES CAMBIO,BANRISUL S/A CORRETORA DE VALORES E CÂMBIO,Gestão,QG3+,Estável,2021-05-27,https://www.austin.com.br/Historico-Rating/3047/Banrisul_S_A_Corretora_de_Valores_e_Câmbio
2026-09-25,Austin,BANRISUL CORRETORA VALORES CAMBIO,BANRISUL S/A CORRETORA DE VALORES E CÂMBIO,Gestão,QG3+,Estável,2018-06-05,https://www.austin.com.br/Historico-Rating/3047/Banrisul_S_A_Corretora_de_Valores_e_Câmbio
2026-09-25,Austin,BARI COMPANHIA HIPOTECARIA,BARI COMPANHIA HIPOTECÁRIA,Cias Hipotecárias,brA-,Estável,2026-04-22,https://www.austin.com.br/Historico-Rating/5179/Bari_Companhia_Hipotecária
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB-,Estável,2023-12-27,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB,Estável,2021-12-23,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB,Estável,2020-01-15,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB-,Estável,2016-06-22,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,BANCO SEMEAR,BANCO SEMEAR S/A,Bancos,brBBB-,Estável,2014-05-27,https://www.austin.com.br/Historico-Rating/1909/Banco_Semear_S_A
2026-09-25,Austin,CONSTANCIA INVESTIMENTOS,CONSTÂNCIA INVESTIMENTOS,Gestão,QG2-,Estável,2023-09-12,https://www.austin.com.br/Historico-Rating/2855/Constância_Investimentos
2026-09-25,Austin,CONSTANCIA INVESTIMENTOS,CONSTÂNCIA INVESTIMENTOS,Gestão,QG2-,Estável,2021-09-02,https://www.austin.com.br/Historico-Rating/2855/Constância_Investimentos
2026-09-25,Austin,CONSTANCIA INVESTIMENTOS,CONSTÂNCIA INVESTIMENTOS,Gestão,QG3,Estável,2018-09-13,https://www.austin.com.br/Historico-Rating/2855/Constância_Investimentos
2026-09-25,Austin,COOPERFORTE COOPERATIVA CREDITO INVESTIMENTOS,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA.,Corporativo,brA+,Positiva,2026-07-01,https://www.austin.com.br/Historico-Rating/4579/Cooperforte_Cooperativa_de_Crédito_e_Investimentos_Ltda
2026-09-25,Austin,COOPERFORTE COOPERATIVA CREDITO INVESTIMENTOS,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA.,Corporativo,brA+,Positiva,2025-06-25,https://www.austin.com.br/Historico-Rating/4579/Cooperforte_Cooperativa_de_Crédito_e_Investimentos_Ltda
2026-09-25,Austin,COOPERFORTE COOPERATIVA CREDITO INVESTIMENTOS,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA.,Corporativo,brA+,Positiva,2024-07-10,https://www.austin.com.br/Historico-Rating/4579/Cooperforte_Cooperativa_de_Crédito_e_Investimentos_Ltda
2026-09-25,Austin,DAE,DAE S.A. – ÁGUA E ESGOTO,Corporativo,brAA,Positiva,2025-08-29,https://www.austin.com.br/Historico-Rating/4586/DAE_SA_–_ÁGUA_E_ESGOTO
2026-09-25,Austin,DAE,DAE S.A. – ÁGUA E ESGOTO,Corporativo,brAA,Positiva,2024-07-31,https://www.austin.com.br/Historico-Rating/4586/DAE_SA_–_ÁGUA_E_ESGOTO
2026-09-25,Austin,DAE,DAE S.A. – ÁGUA E ESGOTO,Corporativo,brAA,Estável,2023-05-31,https://www.austin.com.br/Historico-Rating/4586/DAE_SA_–_ÁGUA_E_ESGOTO
2026-09-25,Austin,ESTADO PIAUI,ESTADO DO PIAUÍ,Estados e Municípios,brA-,Estável,2018-11-13,https://www.austin.com.br/Historico-Rating/3074/Estado_do_Piauí
