emissor,cnpj,razao_rfb,razao_cvm,status,obs
BANCO,00000000000191,BANCO DO BRASIL SA,,✅,match exato (RFB)
BRB,00000208014918,BRB BANCO DE BRASILIA SA,,⚠️,match parcial (substring leniente) (RFB)
AXIA ENERGIA,00001180000126,CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS,,⚠️,match parcial (renome: AXIA ENERGIA->CENTRAIS ELETRICAS BRASILEIRAS) (RFB)
ELETROBRAS,00001180000126,CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS,,⚠️,match parcial (substring leniente) (RFB)
CEREAL COMERCIO EXPORTACAO REPRESENTACAO AGROPECUARIA,00012377000160,CEREAL COMERCIO EXPORTACAO E REPRESENTACAO AGROPECUARIA SA,,✅,match exato (RFB)
SANTA CATARINA,00058108000135,CENTRO MEDICO VETERINARIO DE SANTA CATARINA SC LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
MINAS GERAIS,00058113000148,CONDOMINIO MINAS GERAIS,,⚠️,match parcial (substring leniente) (RFB)
COOPERATIVA CREDITO UNICRED CENTRO,00075847000135,COOPERATIVA DE CREDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,,✅,match exato (RFB)
COMPANHIA SANEAMENTO AMBIENTAL DISTRITO FEDERAL,00082024000137,COMPANHIA DE SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL,,✅,match exato (RFB)
CCR,00092795000105,CCR-COOP. DE TRABALHO DE CONS. E TECNICOS REUNIDOS LTDA,,✅,match exato (RFB)
AUREN OPERACOES,00194724000113,AUREN OPERACOES S.A.,,✅,match exato (RFB)
ARMAC LOCACAO,00242184000104,"ARMAC LOCACAO, LOGISTICA E SERVICOS S.A.",,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO UNICRED,00315557000111,COOPERATIVA CENTRAL DE CREDITO UNICRED DO BRASIL - UNICRED DO BRASIL,,✅,match exato (RFB)
J F,00350763000162,J&F S.A.,,✅,match exato (RFB)
COMPANHIA IMOBILIARIA BRASILIA,00359877000173,COMPANHIA IMOBILIARIA DE BRASILIA TERRACAP,,⚠️,match parcial (substring leniente) (RFB)
CAIXA ECONOMICA FEDERAL,00360305000104,CAIXA ECONOMICA FEDERAL,,✅,match exato (RFB)
COMPANHIA PARAIBANA GAS PBGAS,00371600000166,COMPANHIA PARAIBANA DE GAS PBGAS,,✅,match exato (RFB)
BNDES PARTICIPACOES,00383281000109,BNDES PARTICIPACOES SA BNDESPAR,,⚠️,match parcial (substring leniente) (RFB)
BNDESPAR,00383281000109,BNDES PARTICIPACOES SA BNDESPAR,,⚠️,match parcial (substring leniente) (RFB)
LM TRANSPORTES INTERESTADUAIS SERVICOS COMERCIO,00389481000179,LM TRANSPORTES INTERESTADUAIS SERVICOS E COMERCIO S.A,,✅,match exato (RFB)
BANCO INTER,00416968000101,BANCO INTER S.A,,✅,match exato (RFB)
BRF,00451283000198,BRF-COMERCIO DE GENEROS ALIMENTICIOS LTDA,,✅,match exato (RFB)
BANCO RIBEIRAO PRETO,00517645000104,BANCO RIBEIRAO PRETO S/A,,✅,match exato (RFB)
COMPANHIA PARANAENSE GAS,00535681000192,COMPANHIA PARANAENSE DE GAS COMPAGAS,,⚠️,match parcial (substring leniente) (RFB)
BANCO BARI INVESTIMENTOS FINANCIAMENTOS,00556603000174,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,,✅,match exato (RFB)
ITAU ASSET MANAGEMENT,00639219000135,ITAU ASSET MANAGEMENT LTDA,,✅,match exato (RFB)
ASSOCIACAO POUPANCA EMPRESTIMO,00655522005352,ASSOCIACAO DE POUPANCA E EMPRESTIMO POUPEX,,⚠️,match parcial (substring leniente) (RFB)
LABORATORIO SABIN ANALISES CLINICAS,00718528000109,LABORATORIO SABIN DE ANALISES CLINICAS S.A.,,✅,match exato (RFB)
ENERGISA,00864214000106,ENERGISA S/A,,✅,match exato (RFB)
LET'S RENT CAR,00873894000124,LET'S RENT A CAR S/A,,✅,match exato (RFB)
BEMOL,00903247000118,BEMOL - SERRALHERIA E COMERCIO DE FERRAGENS LTDA,,✅,match exato (RFB)
FERROVIA CENTRO,00924429000175,FERROVIA CENTRO-ATLANTICA S.A,,✅,match exato (RFB)
COOPERATIVA CREDITO CREDICERIPA,00966246000112,COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,,✅,match exato (RFB)
TOP SERVICE SERVICOS SISTEMAS,00973749000115,TOP SERVICE SERVICOS E SISTEMAS S/A,,✅,match exato (RFB)
ELETRONORTE,00988906000166,ELETRONORTE COM E REP DE APARELHOS ELETRONICOS LTDA,,⚠️,match parcial (substring leniente) (RFB)
BANCO RABOBANK INTERNATIONAL,01023570000160,BANCO RABOBANK INTERNATIONAL BRASIL S/A,,✅,match exato (RFB)
CIELO,01027058000191,CIELO S.A - INSTITUICAO DE PAGAMENTO,,✅,match exato (RFB)
NEOENERGIA,01083200000118,NEOENERGIA S.A,,✅,match exato (RFB)
TESC,01115535000170,TESC - TERMINAL SANTA CATARINA S/A,,✅,match exato (RFB)
BANCO COOPERATIVO SICREDI,01181521000155,BANCO COOPERATIVO SICREDI S.A.,,✅,match exato (RFB)
RUMO MALHA SUL,01258944000126,RUMO MALHA SUL S.A,,✅,match exato (RFB)
AGUAS PARAIBA,01280003000199,AGUAS DO PARAIBA SA,,✅,match exato (RFB)
UNIPRIME PIONEIRA COOPERATIVA CREDITO,01286361000109,UNIPRIME PIONEIRA COOPERATIVA DE CREDITO,,✅,match exato (RFB)
ITAPOA TERMINAIS PORTUARIOS,01317277000105,ITAPOA TERMINAIS PORTUARIOS S/A,,✅,match exato (RFB)
COOPERATIVA CENTRAL CREDITO INTERACAO SOLIDARIA,01401771000153,COOPERATIVA CENTRAL DE CREDITO COM INTERACAO SOLIDARIA - CENTRAL CRESOL BASER,,✅,match exato (RFB)
MRS LOGISTICA,01417222000177,MRS LOGISTICA S/A,,✅,match exato (RFB)
BANCO BNP PARIBAS,01522368000182,BANCO BNP PARIBAS BRASIL S.A.,,✅,match exato (RFB)
EQUATORIAL GOIAS DISTRIBUIDORA ENERGIA,01543032000104,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,,✅,match exato (RFB)
CONCESSIONARIA RODOVIA LAGOS,01612234000152,CONCESSIONARIA DA RODOVIA DOS LAGOS S/A,,✅,match exato (RFB)
SANEAMENTO GOIAS,01616929000102,SANEAMENTO DE GOIAS S/A,,✅,match exato (RFB)
VOTORANTIM CIMENTOS,01637895000132,VOTORANTIM CIMENTOS S.A.,,✅,match exato (RFB)
SAFRA DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,01638542000157,SAFRA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,,✅,match exato (RFB)
PLANAGRI,01644277000110,PLANAGRI S A,,✅,match exato (RFB)
PARANAGUA SANEAMENTO,01691945000160,PARANAGUA SANEAMENTO S.A.,,✅,match exato (RFB)
UNIPRIME IGUACU,01848322000158,"UNIPRIME DO IGUACU - COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO",,✅,match exato (RFB)
BANCO BRASILEIRO CREDITO,01852137000137,BANCO BRASILEIRO DE CREDITO S.A,,✅,match exato (RFB)
COOPERFORTE,01857000000175,COOPERFORTE- COOP DE T. DOS TRAB.RURAIS DE CRISTALINA L,,✅,match exato (RFB)
LIGHT ENERGIA,01917818000136,LIGHT ENERGIA S.A,,✅,match exato (RFB)
ELETRORIVER,01968293000168,ELETRORIVER S.A.,,✅,match exato (RFB)
CONCESSIONARIA AGUAS JUTURNAIBA,02013199000118,CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,,✅,match exato (RFB)
RGE SUL DISTRIBUIDORA ENERGIA,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,,✅,match exato (RFB)
COMPANHIA GERACAO TRANSMISSAO ENERGIA ELETRICA SUL,02016507000240,AXIA ENERGIA SUL S.A.,,⚠️,match parcial (2/3 palavras) (RFB)
BANCO COOPERATIVO SICOOB,02038232000164,BANCO COOPERATIVO SICOOB S.A.,,✅,match exato (RFB)
V.TAL REDE NEUTRA TELECOMUNICACOES,02.041.460/0001-93,V.TAL - REDE NEUTRA DE TELECOMUNICACOES S.A.,,✅,match exato (leniente) (RFB)
RIO JANEIRO,02058338000120,"INSTITUTO DE SEGUROS DO RIO DE JANEIRO, CONSULTORIA, ADMINISTRACAO E CORRETAGEM DE SEGUROS LTDA.",,⚠️,match parcial (substring leniente) (RFB)
LATICINIOS BELA VISTA,02089969000106,LATICINIOS BELA VISTA S.A.,,✅,match exato (RFB)
SRM SEC SECURITIZADORA,02211906000180,SRM SEC SECURITIZADORA S.A,,✅,match exato (RFB)
TRUSTHUB SECURITIZADORA 2022,02.211.906/0001-80,SRM SEC SECURITIZADORA S.A,,⚠️,match parcial (1/2 palavras) (RFB)
UNIFIQUE TELECOMUNICACOES,02255187000108,UNIFIQUE TELECOMUNICACOES S/A,,✅,match exato (RFB)
HOSPITAL ESPERANCA,02284062000106,HOSPITAL ESPERANCA SA,,✅,match exato (RFB)
LOCALIZA FLEET,02286479000108,LOCALIZA FLEET S.A.,,✅,match exato (RFB)
EDP SAO PAULO DISTRIBUICAO ENERGIA,02302100000106,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,,✅,match exato (RFB)
EMAE,02302101000142,EMAE - EMPRESA METROPOLITANA DE AGUAS E ENERGIA SA,,✅,match exato (RFB)
ELEKTRO REDES,02328280000197,ELEKTRO REDES S.A.,,✅,match exato (RFB)
MOS GESTAO INVESTIMENTOS,02328724000194,MOS GESTAO DE INVESTIMENTOS LTDA,,✅,match exato (RFB)
TEGMA GESTAO LOGISTICA,02351144000118,TEGMA GESTAO LOGISTICA S.A.,,✅,match exato (RFB)
PROLAGOS,02382073000110,PROLAGOS S/A - CONCESSIONARIA DE SERVICOS PUBLICOS DE AGUA E ESGOTO,,✅,match exato (RFB)
RUMO,02387241000160,RUMO S.A,,✅,match exato (RFB)
ITAPEBI GERACAO ENERGIA,02397080000196,ITAPEBI GERACAO DE ENERGIA SA,,✅,match exato (RFB)
SISPRIME,02398976000190,SISPRIME DO BRASIL - COOPERATIVA DE CREDITO,,✅,match exato (RFB)
TIM,02421421000111,TIM S A,,✅,match exato (RFB)
CPFL ENERGIA,02429144000193,CPFL ENERGIA S.A.,,✅,match exato (RFB)
CONCESSIONARIA SISTEMA ANHANGUERA,02451848000162,CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,,✅,match exato (RFB)
ENGIE ENERGIA,02474103000119,ENGIE BRASIL ENERGIA S.A.,,✅,match exato (RFB)
ULTRAFERTIL,02476026000136,ULTRAFERTIL SA,,✅,match exato (RFB)
RUMO MALHA PAULISTA,02502844000166,RUMO MALHA PAULISTA S.A.,,✅,match exato (RFB)
CONCESSIONARIA ECOVIAS IMIGRANTES,02509491000126,CONCESSIONARIA ECOVIAS DOS IMIGRANTES S.A.,,✅,match exato (RFB)
TELEFONICA,02558157000162,TELEFONICA BRASIL S.A.,,✅,match exato (RFB)
HOSPITAL ANCHIETA,02560878000107,HOSPITAL ANCHIETA S.A,,✅,match exato (RFB)
BNP PARIBAS ASSET MANAGEMENT,02562663000125,BNP PARIBAS ASSET MANAGEMENT BRASIL LTDA,,✅,match exato (RFB)
TIM SERVICOS PARTICIPACOES,02600854000134,TIM BRASIL SERVICOS E PARTICIPACOES S.A,,✅,match exato (RFB)
JALLES MACHADO,02635522000195,JALLES MACHADO S.A.,,✅,match exato (RFB)
T V V,02639850000160,T V V - TERMINAL DE VILA VELHA S.A,,✅,match exato (RFB)
SANTOS PARTICIPACOES,02762121000104,SANTOS BRASIL PARTICIPACOES S.A.,,✅,match exato (RFB)
CRI OPEA SECURITIZADORA,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
CRI OPEA SECURITIZADORA 2023,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,⚠️,match parcial (substring leniente) (RFB)
OPEA SECURITIZADORA,02773542000122,OPEA SECURITIZADORA S.A.,,✅,match exato (RFB)
OPEA SECURITIZADORA 2011,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2012,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2015,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2016,02773542000122,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2017,02773542000122,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2018,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2019,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
OPEA SECURITIZADORA 2020,02.773.542/0001-22,OPEA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
